text,label
New electric vehicles unveiled at expo studies support the claim.,REAL
Elvis Presley spotted at a grocery store according to experts.,FAKE
New electric vehicles unveiled at expo as confirmed by recent reports.,REAL
Flat Earth theory proven the official stated.,FAKE
Scientists turn plastic into gold a press release confirmed it.,FAKE
UN climate report urges urgent action experts remain skeptical.,REAL
UN climate report urges urgent action as confirmed by recent reports.,REAL
Scientists turn plastic into gold experts remain skeptical.,FAKE
Elvis Presley spotted at a grocery store according to experts.,FAKE
Government announces education reform plans new evidence suggests otherwise.,REAL
Aliens landed on the White House lawn the official stated.,FAKE
Time traveler warns of alien invasion public reaction is mixed.,FAKE
Scientists discover new species in the Amazon as confirmed by recent reports.,REAL
5G towers cause mind control public reaction is mixed.,FAKE
New electric vehicles unveiled at expo as confirmed by recent reports.,REAL
UN climate report urges urgent action the official stated.,REAL
Local community supports flood victims a press release confirmed it.,REAL
Cure for cancer found in sugar public reaction is mixed.,FAKE
Economy shows signs of recovery according to experts.,REAL
Scientists discover new species in the Amazon according to experts.,REAL
Local community supports flood victims studies support the claim.,REAL
Local community supports flood victims as confirmed by recent reports.,REAL
COVID-19 vaccine rollout expands to all adults sources say.,REAL
New electric vehicles unveiled at expo experts remain skeptical.,REAL
5G towers cause mind control new evidence suggests otherwise.,FAKE
Government announces education reform plans witnesses reported unusual activity.,REAL
Local community supports flood victims as confirmed by recent reports.,REAL
Drinking bleach cures COVID-19 public reaction is mixed.,FAKE
Scientists turn plastic into gold according to experts.,FAKE
Elections held peacefully in major states new evidence suggests otherwise.,REAL
Local community supports flood victims according to experts.,REAL
Elections held peacefully in major states public reaction is mixed.,REAL
Stock market hits record highs as confirmed by recent reports.,REAL
Flat Earth theory proven studies support the claim.,FAKE
Aliens landed on the White House lawn the official stated.,FAKE
Elections held peacefully in major states sources say.,REAL
Scientists discover new species in the Amazon public reaction is mixed.,REAL
Elvis Presley spotted at a grocery store as confirmed by recent reports.,FAKE
Drinking bleach cures COVID-19 new evidence suggests otherwise.,FAKE
Elvis Presley spotted at a grocery store according to experts.,FAKE
UN climate report urges urgent action sources say.,REAL
5G towers cause mind control as confirmed by recent reports.,FAKE
Local community supports flood victims studies support the claim.,REAL
Time traveler warns of alien invasion new evidence suggests otherwise.,FAKE
Cure for cancer found in sugar public reaction is mixed.,FAKE
5G towers cause mind control sources say.,FAKE
Aliens landed on the White House lawn according to experts.,FAKE
Aliens landed on the White House lawn as confirmed by recent reports.,FAKE
Scientists discover new species in the Amazon experts remain skeptical.,REAL
Aliens landed on the White House lawn public reaction is mixed.,FAKE
Elvis Presley spotted at a grocery store studies support the claim.,FAKE
Time traveler warns of alien invasion a press release confirmed it.,FAKE
New study shows staring at the sun improves eyesight studies support the claim.,FAKE
Scientists discover new species in the Amazon public reaction is mixed.,REAL
Time traveler warns of alien invasion sources say.,FAKE
Elvis Presley spotted at a grocery store new evidence suggests otherwise.,FAKE
New study shows staring at the sun improves eyesight a press release confirmed it.,FAKE
Aliens landed on the White House lawn the official stated.,FAKE
Drinking bleach cures COVID-19 experts remain skeptical.,FAKE
5G towers cause mind control studies support the claim.,FAKE
Local community supports flood victims studies support the claim.,REAL
NASA successfully launches new Mars rover mission the official stated.,REAL
Economy shows signs of recovery public reaction is mixed.,REAL
Local community supports flood victims witnesses reported unusual activity.,REAL
5G towers cause mind control studies support the claim.,FAKE
Cure for cancer found in sugar public reaction is mixed.,FAKE
Government announces education reform plans sources say.,REAL
Cure for cancer found in sugar as confirmed by recent reports.,FAKE
Dinosaurs found alive on remote island the official stated.,FAKE
UN climate report urges urgent action sources say.,REAL
New electric vehicles unveiled at expo a press release confirmed it.,REAL
Elections held peacefully in major states as confirmed by recent reports.,REAL
COVID-19 vaccine rollout expands to all adults public reaction is mixed.,REAL
COVID-19 vaccine rollout expands to all adults experts remain skeptical.,REAL
Economy shows signs of recovery new evidence suggests otherwise.,REAL
Economy shows signs of recovery studies support the claim.,REAL
NASA successfully launches new Mars rover mission experts remain skeptical.,REAL
Elvis Presley spotted at a grocery store a press release confirmed it.,FAKE
Government announces education reform plans the official stated.,REAL
Government announces education reform plans new evidence suggests otherwise.,REAL
Flat Earth theory proven a press release confirmed it.,FAKE
5G towers cause mind control according to experts.,FAKE
Local community supports flood victims the official stated.,REAL
Flat Earth theory proven a press release confirmed it.,FAKE
Economy shows signs of recovery a press release confirmed it.,REAL
5G towers cause mind control witnesses reported unusual activity.,FAKE
Time traveler warns of alien invasion as confirmed by recent reports.,FAKE
Scientists discover new species in the Amazon as confirmed by recent reports.,REAL
Economy shows signs of recovery experts remain skeptical.,REAL
COVID-19 vaccine rollout expands to all adults sources say.,REAL
UN climate report urges urgent action witnesses reported unusual activity.,REAL
Government announces education reform plans a press release confirmed it.,REAL
New electric vehicles unveiled at expo studies support the claim.,REAL
Economy shows signs of recovery studies support the claim.,REAL
Stock market hits record highs a press release confirmed it.,REAL
Elections held peacefully in major states public reaction is mixed.,REAL
5G towers cause mind control as confirmed by recent reports.,FAKE
5G towers cause mind control sources say.,FAKE
Stock market hits record highs studies support the claim.,REAL
Aliens landed on the White House lawn as confirmed by recent reports.,FAKE
Dinosaurs found alive on remote island according to experts.,FAKE
Stock market hits record highs according to experts.,REAL
Aliens landed on the White House lawn public reaction is mixed.,FAKE
Economy shows signs of recovery according to experts.,REAL
Elections held peacefully in major states new evidence suggests otherwise.,REAL
Elvis Presley spotted at a grocery store new evidence suggests otherwise.,FAKE
Economy shows signs of recovery the official stated.,REAL
Dinosaurs found alive on remote island witnesses reported unusual activity.,FAKE
Elections held peacefully in major states according to experts.,REAL
New study shows staring at the sun improves eyesight new evidence suggests otherwise.,FAKE
New study shows staring at the sun improves eyesight experts remain skeptical.,FAKE
Scientists discover new species in the Amazon public reaction is mixed.,REAL
Elections held peacefully in major states new evidence suggests otherwise.,REAL
Cure for cancer found in sugar a press release confirmed it.,FAKE
Government announces education reform plans public reaction is mixed.,REAL
COVID-19 vaccine rollout expands to all adults as confirmed by recent reports.,REAL
Dinosaurs found alive on remote island according to experts.,FAKE
Dinosaurs found alive on remote island studies support the claim.,FAKE
Scientists turn plastic into gold a press release confirmed it.,FAKE
Cure for cancer found in sugar the official stated.,FAKE
Drinking bleach cures COVID-19 studies support the claim.,FAKE
Time traveler warns of alien invasion public reaction is mixed.,FAKE
Economy shows signs of recovery public reaction is mixed.,REAL
Flat Earth theory proven the official stated.,FAKE
Dinosaurs found alive on remote island sources say.,FAKE
Dinosaurs found alive on remote island a press release confirmed it.,FAKE
Scientists discover new species in the Amazon sources say.,REAL
Drinking bleach cures COVID-19 witnesses reported unusual activity.,FAKE
New study shows staring at the sun improves eyesight the official stated.,FAKE
Elections held peacefully in major states as confirmed by recent reports.,REAL
Cure for cancer found in sugar studies support the claim.,FAKE
Scientists turn plastic into gold studies support the claim.,FAKE
Government announces education reform plans studies support the claim.,REAL
NASA successfully launches new Mars rover mission according to experts.,REAL
New study shows staring at the sun improves eyesight witnesses reported unusual activity.,FAKE
Elvis Presley spotted at a grocery store witnesses reported unusual activity.,FAKE
Time traveler warns of alien invasion sources say.,FAKE
Aliens landed on the White House lawn public reaction is mixed.,FAKE
Aliens landed on the White House lawn a press release confirmed it.,FAKE
NASA successfully launches new Mars rover mission according to experts.,REAL
Elvis Presley spotted at a grocery store the official stated.,FAKE
Drinking bleach cures COVID-19 according to experts.,FAKE
Local community supports flood victims new evidence suggests otherwise.,REAL
5G towers cause mind control according to experts.,FAKE
